Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '330', '0', '0', '0', '330', '0', '0', '0', '738', '0', '738']
Row len: 12, Content: ['01~02시', '999', '0', '0', '0', '999', '0', '0', '0', '215', '0', '215']
Row len: 12, Content: ['02~03시', '221', '0', '0', '0', '221', '0', '0', '0', '55', '0', '55']
Row len: 12, Content: ['03~04시', '0', '0', '0', '0', '0', '0', '0', '0', '266', '0', '266']
Row len: 12, Content: ['04~05시', '540', '0', '0', '0', '540', '0', '0', '0', '1492', '0', '1492']
Row len: 12, Content: ['05~06시', '1954', '0', '0', '727', '2681', '0', '1209', '0', '2497', '0', '3706']
Row len: 12, Content: ['06~07시', '1152', '943', '1846', '1544', '5485', '322', '1224', '1273', '1426', '102', '4347']
Row len: 12, Content: ['07~08시', '1381', '739', '160', '1652', '3932', '733', '1107', '1525', '1656', '257', '5278']
Row len: 12, Content: ['08~09시', '569', '202', '731', '757', '2259', '563', '1019', '1511', '1579', '216', '4888']
Row len: 12, Content: ['09~10시', '88', '565', '506', '155', '1314', '268', '1128', '1375', '1464', '202', '4437']
Row len: 12, Content: ['10~11시', '290', '516', '285', '762', '1853', '0', '1493', '1405', '1495', '245', '4638']
Row len: 12, Content: ['11~12시', '387', '534', '1248', '1351', '3520', '0', '1298', '1347', '1504', '248', '4397']
Row len: 12, Content: ['12~13시', '162', '1505', '893', '417', '2977', '0', '1004', '1151', '1349', '184', '3688']
Row len: 12, Content: ['13~14시', '655', '693', '949', '1474', '3771', '0', '1074', '1081', '1235', '175', '3565']
Row len: 12, Content: ['14~15시', '785', '890', '1089', '1091', '3855', '0', '1015', '965', '1055', '152', '3187']
Row len: 12, Content: ['15~16시', '933', '1304', '1273', '630', '4140', '0', '1024', '954', '1066', '156', '3200']
Row len: 12, Content: ['16~17시', '892', '503', '775', '967', '3137', '0', '1307', '1014', '1005', '121', '3447']
Row len: 12, Content: ['17~18시', '1062', '706', '797', '1752', '4317', '0', '1634', '1036', '959', '134', '3763']
Row len: 12, Content: ['18~19시', '1384', '1130', '695', '1126', '4335', '0', '1471', '1097', '948', '150', '3666']
Row len: 12, Content: ['19~20시', '711', '920', '452', '2072', '4155', '0', '942', '974', '983', '149', '3048']
Row len: 12, Content: ['20~21시', '640', '1253', '855', '781', '3529', '0', '401', '0', '1386', '0', '1787']
Row len: 12, Content: ['21~22시', '1088', '802', '1657', '1004', '4551', '0', '284', '0', '996', '0', '1280']
Row len: 12, Content: ['22~23시', '2654', '0', '0', '751', '3405', '0', '0', '0', '1220', '0', '1220']
Row len: 12, Content: ['23~00시', '990', '0', '0', '0', '990', '0', '0', '0', '542', '0', '542']
Row len: 12, Content: ['합   계', '19867', '13205', '14211', '19013', '66296', '1886', '18634', '16708', '27131', '2491', '66850']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '569', '0', '0', '0', '569', '0', '0', '0', '668', '0', '668']
Row len: 12, Content: ['01~02시', '595', '0', '0', '0', '595', '0', '0', '0', '251', '0', '251']
Row len: 12, Content: ['02~03시', '236', '0', '0', '0', '236', '0', '0', '0', '87', '0', '87']
Row len: 12, Content: ['03~04시', '207', '0', '0', '0', '207', '0', '0', '0', '220', '0', '220']
Row len: 12, Content: ['04~05시', '527', '0', '0', '0', '527', '0', '0', '0', '1638', '0', '1638']
Row len: 12, Content: ['05~06시', '2468', '0', '0', '483', '2951', '0', '976', '0', '2465', '0', '3441']
Row len: 12, Content: ['06~07시', '1149', '1262', '1336', '866', '4613', '303', '1093', '1123', '1235', '89', '3843']
Row len: 12, Content: ['07~08시', '576', '174', '323', '808', '1881', '745', '1096', '1481', '1556', '222', '5100']
Row len: 12, Content: ['08~09시', '1134', '893', '378', '606', '3011', '616', '1073', '1658', '1765', '256', '5368']
Row len: 12, Content: ['09~10시', '623', '469', '278', '533', '1903', '252', '1070', '1418', '1576', '211', '4527']
Row len: 12, Content: ['10~11시', '5', '687', '822', '1513', '3027', '0', '1481', '1452', '1505', '237', '4675']
Row len: 12, Content: ['11~12시', '383', '925', '925', '1063', '3296', '0', '1504', '1492', '1544', '264', '4804']
Row len: 12, Content: ['12~13시', '294', '932', '1317', '1110', '3653', '0', '979', '1113', '1237', '163', '3492']
Row len: 12, Content: ['13~14시', '576', '593', '692', '845', '2706', '0', '1012', '1071', '1211', '189', '3483']
Row len: 12, Content: ['14~15시', '1059', '671', '655', '860', '3245', '0', '903', '969', '1082', '158', '3112']
Row len: 12, Content: ['15~16시', '643', '619', '1487', '1305', '4054', '0', '864', '914', '1029', '154', '2961']
Row len: 12, Content: ['16~17시', '486', '444', '534', '1428', '2892', '0', '1179', '966', '943', '108', '3196']
Row len: 12, Content: ['17~18시', '1001', '1250', '608', '1435', '4294', '0', '1393', '991', '916', '112', '3412']
Row len: 12, Content: ['18~19시', '918', '655', '1309', '1102', '3984', '0', '1378', '1063', '940', '152', '3533']
Row len: 12, Content: ['19~20시', '654', '658', '529', '610', '2451', '0', '1001', '994', '1019', '172', '3186']
Row len: 12, Content: ['20~21시', '1030', '1103', '843', '1113', '4089', '0', '357', '0', '1220', '0', '1577']
Row len: 12, Content: ['21~22시', '977', '963', '935', '1403', '4278', '0', '261', '0', '801', '0', '1062']
Row len: 12, Content: ['22~23시', '2299', '0', '0', '750', '3049', '0', '0', '0', '1103', '0', '1103']
Row len: 12, Content: ['23~00시', '527', '0', '0', '0', '527', '0', '0', '0', '516', '0', '516']
Row len: 12, Content: ['합   계', '18936', '12298', '12971', '17833', '62038', '1916', '17620', '16705', '26527', '2487', '65255']
Row len: 12, Content: ['00~01시', '330', '0', '0', '0', '330', '0', '0', '0', '738', '0', '738']
Row len: 12, Content: ['01~02시', '999', '0', '0', '0', '999', '0', '0', '0', '215', '0', '215']
Row len: 12, Content: ['02~03시', '221', '0', '0', '0', '221', '0', '0', '0', '55', '0', '55']
Row len: 12, Content: ['03~04시', '0', '0', '0', '0', '0', '0', '0', '0', '266', '0', '266']
Row len: 12, Content: ['04~05시', '540', '0', '0', '0', '540', '0', '0', '0', '1492', '0', '1492']
Row len: 12, Content: ['05~06시', '1954', '0', '0', '727', '2681', '0', '1209', '0', '2497', '0', '3706']
Row len: 12, Content: ['06~07시', '1152', '943', '1846', '1544', '5485', '322', '1224', '1273', '1426', '102', '4347']
Row len: 12, Content: ['07~08시', '1381', '739', '160', '1652', '3932', '733', '1107', '1525', '1656', '257', '5278']
Row len: 12, Content: ['08~09시', '569', '202', '731', '757', '2259', '563', '1019', '1511', '1579', '216', '4888']
Row len: 12, Content: ['09~10시', '88', '565', '506', '155', '1314', '268', '1128', '1375', '1464', '202', '4437']
Row len: 12, Content: ['10~11시', '290', '516', '285', '762', '1853', '0', '1493', '1405', '1495', '245', '4638']
Row len: 12, Content: ['11~12시', '387', '534', '1248', '1351', '3520', '0', '1298', '1347', '1504', '248', '4397']
